Timestamp,"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C10]  SUGAR:  LOOKING AT OUR FAVORITE MOLECULE IN FOOD, CULTURE AND THE MEDIA]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C11]  PERSONAL IDENTITY AND IMMORTALITY],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C13]  AN EARTH RESTORED: INTERSECTIONAL ENVIRONMENTAL APPROACHES],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C14]  STUDY SAYS:  CHOCOLATE MAKES YOU SMARTER!  SEPARATING SCIENCE FROM SENSATIONALISM IN CLAIMS ABOUT FOOD],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C15]  NEW YORK VOICES:  LITERATURE OF NEW YORK],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C19]  INTERNATIONAL HEALTH POLITICS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C17]  FROM AMELIE TO EMILY IN PARIS: MYTH AND REALITY IN THE CITY OF LIGHTS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J2]  ACTING THROUGH THE AGES: TRUTH IN PERFORMANCE],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J21]  LATINOS IN HOLLYWOOD: REPRESENTATIONS, STEREOTYPES, AND IDENTITIES]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C12]  SCIENTIFIC LITERACY: SEPARATING FACT FROM FICTION],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C1] THE FORTY STUDIES THAT CHANGED PSYCHOLOGY],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C18]  FROM WEST AFRICA TO AMERICA:  FOOD, MUSIC, AND CULTURE OF THE PLANTATION]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J26]  HISTORY IN GRAPHIC LITERATURE:  ADVENTURES IN THE PICTORIAL PAST],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J29]  WHY WE BUY: THE SCIENCE OF SHOPPING],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J27]  THE SIXTIES: CIVIL RIGHTS, THE VIETNAM WAR, AND ROCK 'N ROLL]","DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J28]  FOOD FOR THOUGHT, THOUGHT FOR FOOD: CHINESE FOODWAYS]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J25]  STRANGERS AT THE SHORE: IMMIGRANTS AND THE NATION],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J24]  OH, THE HORROR: SCARY MOVIES AND CULTURAL UNEASE]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J23]  MORE THAN A GAME: SPORTS STORIES AND WHY THEY MATTER],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J22]  MADMEN IN AUTHORITY, DEFUNCT ECONOMISTS, AND THEIR QUARRELS: AN EXPLORATION AND CRITIQUE OF IDEAS ABOUT CAPITALIST DEVELOPMENT]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J1]  THE SCENTS OF SMELL],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J20] IN GOOD TASTE:  FOOD, CULTURE, AND SUSTAINABILITY IN ITALY]",Are you finished?
7/11/2022 12:53:12,5th Choice DSEM,3rd Choice DSEM,,2nd Choice DSEM,,4th Choice DSEM,,,,,1st Choice DSEM,,,,,,,,,,,,I'm completely finished!
7/11/2022 13:05:33,,,,,3rd Choice DSEM,,,,,,4th Choice DSEM,,,,,,,1st Choice DSEM,,,,5th Choice DSEM,I'm completely finished!
7/11/2022 15:42:33,,,,5th Choice DSEM,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,,,,3rd Choice DSEM,,,,4th Choice DSEM,I'm completely finished!
7/11/2022 19:53:22,,,,,3rd Choice DSEM,,,4th Choice DSEM,,,2nd Choice DSEM,,,,,5th Choice DSEM,,1st Choice DSEM,,,,,I'm completely finished!
7/12/2022 10:25:31,,3rd Choice DSEM,,4th Choice DSEM,,,,,,,2nd Choice DSEM,,,,,5th Choice DSEM,1st Choice DSEM,,,,,,I'm completely finished!
7/12/2022 11:24:12,3rd Choice DSEM,,,2nd Choice DSEM,,5th Choice DSEM,,,,,,,,,,,,4th Choice DSEM,,,,1st Choice DSEM,I'm completely finished!
7/12/2022 13:01:27,,3rd Choice DSEM,,,,,,,,,2nd Choice DSEM,,5th Choice DSEM,,,,1st Choice DSEM,,,4th Choice DSEM,,,I'm completely finished!
7/13/2022 12:02:42,4th Choice DSEM,1st Choice DSEM,,5th Choice DSEM,,,,,,,,,,,,,,,,,2nd Choice DSEM,3rd Choice DSEM,I'm completely finished!
7/13/2022 12:13:09,4th Choice DSEM,3rd Choice DSEM,5th Choice DSEM,1st Choice DSEM,,,,,,,,,,,,,,2nd Choice DSEM,,,,,I'm completely finished!
7/13/2022 12:15:52,,,1st Choice DSEM,2nd Choice DSEM,,,,,5th Choice DSEM,,,,,,,4th Choice DSEM,,3rd Choice DSEM,,,,,I'm completely finished!
7/13/2022 12:55:09,2nd Choice DSEM,,,4th Choice DSEM,5th Choice DSEM,,3rd Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,,I'm completely finished!
7/13/2022 13:07:58,5th Choice DSEM,,,,,,1st Choice DSEM,,3rd Choice DSEM,,,,,,,,,,,,,4th Choice DSEM,I'm completely finished!
7/13/2022 15:35:50,4th Choice DSEM,1st Choice DSEM,,3rd Choice DSEM,5th Choice DSEM,,,,2nd Choice DSEM,,,,,,,,,,,,,,I'm completely finished!
7/13/2022 17:33:11,,4th Choice DSEM,,5th Choice DSEM,,1st Choice DSEM,,,,,3rd Choice DSEM,,,,,,2nd Choice DSEM,,,,,,I'm completely finished!
7/13/2022 20:28:48,,,1st Choice DSEM,5th Choice DSEM,,3rd Choice DSEM,,,,,,,,,4th Choice DSEM,,,,,2nd Choice DSEM,,,I'm completely finished!
7/13/2022 21:48:31,,,,3rd Choice DSEM,,,1st Choice DSEM,,,,,,,,5th Choice DSEM,,,,,,2nd Choice DSEM,4th Choice DSEM,I'm completely finished!
7/13/2022 22:15:00,,1st Choice DSEM,3rd Choice DSEM,,,,,4th Choice DSEM,,,,,5th Choice DSEM,,,,,,,2nd Choice DSEM,,,I'm completely finished!
7/13/2022 22:21:11,,3rd Choice DSEM,4th Choice DSEM,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,5th Choice DSEM,,,,,I'm completely finished!
7/14/2022 10:31:30,,2nd Choice DSEM,,5th Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,3rd Choice DSEM,,4th Choice DSEM,,,I'm completely finished!
7/14/2022 12:37:50,,,3rd Choice DSEM,2nd Choice DSEM,,,,,,,1st Choice DSEM,,5th Choice DSEM,,,,,,,,4th Choice DSEM,,I'm completely finished!
7/15/2022 12:08:50,,,,,,,,,4th Choice DSEM,,1st Choice DSEM,2nd Choice DSEM,5th Choice DSEM,,,,,,,3rd Choice DSEM,,,I'm completely finished!
7/15/2022 13:31:25,,2nd Choice DSEM,,4th Choice DSEM,,,1st Choice DSEM,,,,3rd Choice DSEM,,,,,,,,,,,5th Choice DSEM,I'm completely finished!
7/15/2022 15:19:29,,2nd Choice DSEM,,,,3rd Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,,,I'm completely finished!
7/17/2022 15:43:07,1st Choice DSEM,,,2nd Choice DSEM,,,,,,,,3rd Choice DSEM,5th Choice DSEM,,4th Choice DSEM,,,,,,,,I'm completely finished!
7/18/2022 0:05:52,4th Choice DSEM,3rd Choice DSEM,,,,,,1st Choice DSEM,,,2nd Choice DSEM,,,,,,,5th Choice DSEM,,,,,I'm completely finished!
7/18/2022 14:20:34,,,,3rd Choice DSEM,,,,,,,4th Choice DSEM,,,,2nd Choice DSEM,,1st Choice DSEM,5th Choice DSEM,,,,,I'm completely finished!
7/18/2022 15:46:50,,1st Choice DSEM,3rd Choice DSEM,5th Choice DSEM,,4th Choice DSEM,,,,,2nd Choice DSEM,,,,,,,,,,,,I'm completely finished!
7/18/2022 23:50:16,,3rd Choice DSEM,4th Choice DSEM,,5th Choice DSEM,,,,,,2nd Choice DSEM,,,,,,,,,1st Choice DSEM,,,I'm completely finished!
7/19/2022 9:59:28,,4th Choice DSEM,3rd Choice DSEM,,,2nd Choice DSEM,,,,,1st Choice DSEM,,,,,,,5th Choice DSEM,,,,,I'm completely finished!
7/19/2022 14:56:52,1st Choice DSEM,,,,,,,,,,,3rd Choice DSEM,,,,,,,,,,2nd Choice DSEM,I'm completely finished!
7/19/2022 18:36:20,,,,,1st Choice DSEM,,5th Choice DSEM,,,,4th Choice DSEM,,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,I'm completely finished!
7/20/2022 11:41:59,2nd Choice DSEM,,,1st Choice DSEM,,,,,,,,,,,,4th Choice DSEM,,,,,3rd Choice DSEM,5th Choice DSEM,I'm completely finished!
7/20/2022 13:24:33,,,,,,,,1st Choice DSEM,3rd Choice DSEM,,,,,,2nd Choice DSEM,,4th Choice DSEM,,,5th Choice DSEM,,,I'm completely finished!
7/20/2022 15:53:46,,1st Choice DSEM,4th Choice DSEM,,,,,,,,2nd Choice DSEM,,,,5th Choice DSEM,,,,,3rd Choice DSEM,,,I'm completely finished!
7/20/2022 22:24:39,,1st Choice DSEM,,,,,,,,,4th Choice DSEM,,,,,,,3rd Choice DSEM,,5th Choice DSEM,2nd Choice DSEM,,I'm completely finished!
7/21/2022 20:11:44,,,,,,,,,5th Choice DSEM,,,,2nd Choice DSEM,,1st Choice DSEM,3rd Choice DSEM,4th Choice DSEM,,,,,,I'm completely finished!
7/21/2022 23:37:57,,4th Choice DSEM,5th Choice DSEM,,,,,,3rd Choice DSEM,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,,,,I'm completely finished!
7/22/2022 12:05:54,2nd Choice DSEM,1st Choice DSEM,,,,,,,,,,,,,,,,,,,,3rd Choice DSEM,I'm completely finished!
7/22/2022 14:38:47,4th Choice DSEM,,2nd Choice DSEM,1st Choice DSEM,,,,,,,,,,,,5th Choice DSEM,,,,,3rd Choice DSEM,,I'm completely finished!
7/22/2022 15:33:18,1st Choice DSEM,,,,4th Choice DSEM,,,,,,,5th Choice DSEM,,,,2nd Choice DSEM,,,,,,3rd Choice DSEM,I'm completely finished!
7/22/2022 18:00:16,,5th Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,3rd Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
7/23/2022 16:51:31,,,,1st Choice DSEM,4th Choice DSEM,,,,,,,,3rd Choice DSEM,,,,,2nd Choice DSEM,,,,5th Choice DSEM,I'm completely finished!
7/23/2022 20:00:14,,1st Choice DSEM,5th Choice DSEM,,,,4th Choice DSEM,,,,2nd Choice DSEM,,,,,,,,,,,3rd Choice DSEM,I'm completely finished!
7/24/2022 11:04:59,3rd Choice DSEM,,,,,4th Choice DSEM,,,,,2nd Choice DSEM,,,,,,,,,1st Choice DSEM,5th Choice DSEM,,I'm completely finished!
7/24/2022 22:03:36,,,,2nd Choice DSEM,5th Choice DSEM,,,,4th Choice DSEM,,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,I'm completely finished!
7/25/2022 11:16:00,,,,,,,1st Choice DSEM,,,,,,,,,,,,,,,,I'm completely finished!
7/25/2022 20:31:24,,3rd Choice DSEM,,2nd Choice DSEM,,5th Choice DSEM,,,,,1st Choice DSEM,,,,,,4th Choice DSEM,,,,,,I'm completely finished!
7/26/2022 11:02:38,,1st Choice DSEM,,,,5th Choice DSEM,,,,,,,4th Choice DSEM,,,,,3rd Choice DSEM,,2nd Choice DSEM,,,I'm completely finished!
7/26/2022 11:08:12,,,,,,1st Choice DSEM,,,,,,,,,,,,,,,,,I'm completely finished!
7/27/2022 12:48:12,,,,,,,,,,,1st Choice DSEM,2nd Choice DSEM,,,,,,,,3rd Choice DSEM,,,I'm completely finished!
7/27/2022 20:10:03,,,,,,,1st Choice DSEM,,,,3rd Choice DSEM,,2nd Choice DSEM,,,,,4th Choice DSEM,,,5th Choice DSEM,,I'm completely finished!
7/28/2022 11:55:25,,4th Choice DSEM,,5th Choice DSEM,,,,,,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,,1st Choice DSEM,,I'm completely finished!
7/28/2022 15:24:33,,1st Choice DSEM,,3rd Choice DSEM,,2nd Choice DSEM,,,,,,,,,4th Choice DSEM,,,5th Choice DSEM,,,,,I'm completely finished!
7/29/2022 10:44:33,,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,4th Choice DSEM,I'm completely finished!
8/1/2022 14:09:41,,1st Choice DSEM,,,5th Choice DSEM,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,,,,,,4th Choice DSEM,,,I'm completely finished!
8/1/2022 17:25:01,,,,5th Choice DSEM,3rd Choice DSEM,,,,,,,4th Choice DSEM,2nd Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
8/2/2022 16:58:46,,,1st Choice DSEM,2nd Choice DSEM,5th Choice DSEM,3rd Choice DSEM,,,,,,,,,,,,,,,4th Choice DSEM,,I'm completely finished!
8/3/2022 11:57:00,,3rd Choice DSEM,,,4th Choice DSEM,,,,5th Choice DSEM,,1st Choice DSEM,2nd Choice DSEM,,,,,,,,,,,I'm completely finished!
8/5/2022 10:09:24,,4th Choice DSEM,,3rd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,,,5th Choice DSEM,2nd Choice DSEM,,I'm completely finished!
8/5/2022 11:16:15,,,,,,,,,2nd Choice DSEM,,1st Choice DSEM,,,,,,,,,,,,I'm completely finished!
8/7/2022 0:34:09,,4th Choice DSEM,5th Choice DSEM,,,,,2nd Choice DSEM,,,3rd Choice DSEM,,,,,,,1st Choice DSEM,,,,,I'm completely finished!
8/9/2022 17:09:15,,,5th Choice DSEM,,,3rd Choice DSEM,,,,,,2nd Choice DSEM,4th Choice DSEM,,,,1st Choice DSEM,,,,,,I'm completely finished!
8/16/2022 23:15:54,,,,,4th Choice DSEM,,,,3rd Choice DSEM,,,5th Choice DSEM,,,,1st Choice DSEM,2nd Choice DSEM,,,,,,I'm completely finished!
8/17/2022 1:12:15,,,,,,,,1st Choice DSEM,5th Choice DSEM,,,4th Choice DSEM,3rd Choice DSEM,,,,2nd Choice DSEM,,,,,,I'm completely finished!
8/19/2022 14:11:47,,,,,,,,,,,,,,,,,,,,,1st Choice DSEM,,I'm completely finished!
8/20/2022 13:01:02,,,,,,,,,,,,,5th Choice DSEM,,4th Choice DSEM,,3rd Choice DSEM,,,,1st Choice DSEM,2nd Choice DSEM,I'm completely finished!
8/24/2022 11:51:45,,,,,,,2nd Choice DSEM,3rd Choice DSEM,1st Choice DSEM,,,5th Choice DSEM,,,,,,,,,4th Choice DSEM,,I'm completely finished!
8/24/2022 22:52:07,3rd Choice DSEM,,,,,,5th Choice DSEM,,,,,,,,4th Choice DSEM,,,,,,2nd Choice DSEM,1st Choice DSEM,I'm completely finished!
8/27/2022 17:28:20,,,,,3rd Choice DSEM,,,,,,,,4th Choice DSEM,,2nd Choice DSEM,,,,,,5th Choice DSEM,1st Choice DSEM,I'm completely finished!
8/31/2022 19:26:25,,,,,1st Choice DSEM,,,,5th Choice DSEM,,,3rd Choice DSEM,,,2nd Choice DSEM,,4th Choice DSEM,,,,,,I'm completely finished!
9/3/2022 8:59:43,1st Choice DSEM,,,,,,3rd Choice DSEM,,,,,,,,,5th Choice DSEM,,,,,2nd Choice DSEM,4th Choice DSEM,I'm completely finished!
